temp,Column1,label
76.8,6.2142066,Shirt | Shorts | Light Breeze
63,6.3292845,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
64.9,6.3292845,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
71.3,6.3292845,Shirt | Shorts | Light Breeze
23.1,6.4443624,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
26.3,6.4443624,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
37.9,6.4443624,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  |Light Breeze
74.2,6.4443624,Shirt | Shorts | Light Breeze
78.7,6.4443624,Shirt | Shorts | Light Breeze
44.5,6.5594403,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
64.8,6.5594403,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
78.3,6.5594403,Shirt | Shorts | Light Breeze
36.3,6.6745182,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
36.3,6.6745182,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
39.3,6.6745182,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
40.2,6.6745182,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
32.9,6.7895961,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
47.4,6.904674,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
76.8,6.904674,Shirt | Shorts | Light Breeze
78.8,6.904674,Shirt | Shorts | Light Breeze
46,7.0197519,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
68.1,7.0197519,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
78,7.0197519,Shirt | Shorts | Gentle Breeze
30.1,7.1348298,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Gentle Breeze
46.7,7.1348298,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
